X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,DEVELOPMENT_CODE,PROJECT_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_TYPE_CODE,BUILDING_STATUS_TYPE_CODE,NATIONAL_BLDG_ID,CONSTRUCT_DATE,DOFA_ACTUAL_DT,TOTAL_DWELLING_UNITS,ACC_UNITS,TOTAL_OCCUPIED,REGULAR_VACANT,TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,RAD_CHAP_INDR,RAD_TYPE,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,PHA_TOTAL_UNITS,DEV_BUIL_NU_ENTRANCE,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL
-122.294223,47.5643189990001,1719,WA001,Seattle Housing Authority,WA001000090,Rainier Vista Phase III,,WA,SF,INAPCP,8149030000,2012/04/30 00:00:00+00,2012/04/30 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,010100,3,3004,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5309,1392,S,,3050 S Genesee St,,Seattle,WA,98108,1629,,98108,50,1,98108162950,S,,,,3,,,A,,70% Overall probable correctness,47.564319,-122.294223,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033010100,530330101003,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000090WA1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.364821,47.7044349990001,1819,WA001,Seattle Housing Authority,WA001000050,SCATTERED SITES,S42-12305,F42726,SD,DDAPRD,5913620000,1950/01/01 00:00:00+00,1983/11/30 00:00:00+00,2,2,2,0,2,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,001400,3,3002,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5307,1392,S,,10444 Alderbrook Pl NW,,Seattle,WA,98177,5144,,98177,44,6,98177514444,S,,,,1,,,A,,90% Overall probable correctness,47.704435,-122.364821,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033001400,530330014003,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000050F427261,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.281456,47.5332069990001,2418,WA001,Seattle Housing Authority,WA001000079,NEW HOLLY PHASE III,,SB,SF,INAPCP,8163620000,2005/03/31 00:00:00+00,2005/03/31 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,011001,3,3027,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5309,1392,S,,4017 S Holden St,,Seattle,WA,98118,3718,,98118,17,6,98118371817,S,,,,3,,,A,,70% Overall probable correctness,47.533207,-122.281456,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033011001,530330110013,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000079SB1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.282837,47.535535999,2419,WA001,Seattle Housing Authority,WA001000079,NEW HOLLY PHASE III,,UF,SF,INAPCP,0463620000,2004/10/28 00:00:00+00,2005/03/31 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,011001,3,3009,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5309,1392,S,,7429 Rockery Dr S,,Seattle,WA,98118,3710,,98118,29,1,98118371029,S,,,,3,,,A,,70% Overall probable correctness,47.535536,-122.282837,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033011001,530330110013,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000079UF1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.370233,47.5460449990001,2420,WA001,Seattle Housing Authority,WA001000083,HIGH POINT PHASE I,,KG,SF,INAPCP,6083620000,2006/02/28 00:00:00+00,2006/05/31 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,010702,2,2006,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5307,1392,S,,6334 30th Ave SW,,Seattle,WA,98126,3166,,98126,34,1,98126316634,S,,,,3,,,A,,70% Overall probable correctness,47.546045,-122.370233,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033010702,530330107022,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000083KG1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.369978,47.5461749990001,2421,WA001,Seattle Housing Authority,WA001000083,HIGH POINT PHASE I,,KP,SF,INAPCP,4183620000,2006/04/20 00:00:00+00,2006/05/31 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,010702,2,2006,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5307,1392,S,,6337 29th Ave SW,,Seattle,WA,98126,2974,,98126,37,2,98126297437,S,,,,3,,,A,,70% Overall probable correctness,47.546175,-122.369978,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033010702,530330107022,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000083KP1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.370761,47.5461359990001,2450,WA001,Seattle Housing Authority,WA001000083,HIGH POINT PHASE I,,ME,SD,INAPCP,7283620000,2006/02/28 00:00:00+00,2006/05/31 00:00:00+00,2,2,2,0,2,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,010702,2,2005,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5307,1392,S,,6313 30th Ave SW,,Seattle,WA,98126,3166,,98126,13,4,98126316613,S,,,,3,,,A,,70% Overall probable correctness,47.546136,-122.370761,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033010702,530330107022,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000083ME1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.373546,47.5434789990001,2452,WA001,Seattle Housing Authority,WA001000085,HIGH POINT PHASE II,NULL,RI,RW,INAPCP,5710030000,2008/11/17 00:00:00+00,2009/03/31 00:00:00+00,4,1,1,0,4,25,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,010702,3,3008,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5307,1392,S,,6582 32nd Ave SW,,Seattle,WA,98126,3146,,98126,82,0,98126314682,S,,,,3,,,A,,70% Overall probable correctness,47.543479,-122.373546,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033010702,530330107023,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000085RI3,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.294431,47.5411339990001,2453,WA001,Seattle Housing Authority,WA001000073,NEW HOLLY PHASE I,,DE,SD,INAPCP,4243620000,1998/12/30 00:00:00+00,1999/12/31 00:00:00+00,2,0,0,0,2,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,011002,2,2018,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5309,1392,S,,2933 S Brighton St,,Seattle,WA,98108,3776,,98108,33,5,98108377633,S,,,,3,,,A,,70% Overall probable correctness,47.541134,-122.294431,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033011002,530330110022,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000073DE1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
-122.293279,47.541463999,2456,WA001,Seattle Housing Authority,WA001000073,NEW HOLLY PHASE I,,FI,SD,INAPCP,2643620000,1998/12/30 00:00:00+00,1999/12/31 00:00:00+00,2,0,0,0,2,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,King,033,011002,2,2029,N,N,King,033,92928,Seattle,63000,Seattle city,C1,,7600,"Seattle-Bellevue-Everett, WA PMSA",42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",99999,,1,0,5309,1392,S,,3018 S Brighton St,,Seattle,WA,98108,3777,,98108,18,1,98108377718,S,,,,5,,N,A,,50% Overall probable correctness,47.541464,-122.293279,S,,R,U,** Street-Level Rooftop **,53033,5363000,53033011002,530330110022,N, ,2021/04/04 22:18:23+00,-4,-4,5636,WA001000073FI1,2066153300,2066153504,execdirector@seattlehousing.org,2066153500,2066153504,andrew.lofton@seattlehousing.org
